"","data","hypSc","logLik","pdHSIC","pdHSICgMean","pdHSICgMin","pvalHSIC","SME_KDP","SME_MaxEnt1","timeLearn"
"1","AN","stdr.nnqr1_re_red",0.995371428571429,0.940571428571429,0.993428571428571,0.991771428571429,0.940571428571429,0.0716,0.593771428571429,0.454457142857143
"2","AN-s","stdr.nnqr1_re_red",0.855885714285714,0.670857142857143,0.523142857142857,0.602342857142857,0.670857142857143,0.348228571428571,0.4996,0.751314285714286
"3","LS","stdr.nnqr1_re_red",0.9928,0.833028571428571,0.979942857142857,0.8688,0.833028571428571,0.0367428571428571,0.337542857142857,0.571257142857143
"4","LS-s","stdr.nnqr1_re_red",0.901142857142857,0.659028571428571,0.598571428571429,0.549771428571429,0.659028571428571,0.465942857142857,0.441257142857143,0.770514285714286
"5","MN-U","stdr.nnqr1_re_red",0.976,0.586171428571429,0.7688,0.604285714285714,0.586171428571429,0.0969714285714286,0.493714285714286,0.223428571428571
