"","data","hypSc","logLik","pdHSIC","pdHSICgMean","pdHSICgMin","pvalHSIC","SME_KDP","SME_MaxEnt1","timeLearn"
"1","AN","stdr.cqr1_re_red",0.998,0.0750857142857143,0.620514285714286,0.722942857142857,0.0782571428571429,0.638914285714286,0.998628571428571,0.9862
"2","AN-s","stdr.cqr1_re_red",0.629142857142857,0.285257142857143,0.486114285714286,0.48,0.285257142857143,0.246457142857143,0.604457142857143,0.987714285714286
"3","LS","stdr.cqr1_re_red",0.998171428571429,0.0569714285714286,0.653942857142857,0.362142857142857,0.0945714285714286,0.201085714285714,0.995657142857143,0.965
"4","LS-s","stdr.cqr1_re_red",0.7664,0.447257142857143,0.454342857142857,0.429371428571429,0.447257142857143,0.194742857142857,0.592342857142857,1
"5","MN-U","stdr.cqr1_re_red",0.796114285714286,0,0.345628571428571,0.0624,0,0.116742857142857,0.112171428571429,0.982085714285714
