"","data","hypSc","logLik","pvalHSIC","SME_KDP","SME_MaxEnt1","timeLearn"
"1","SIM","norm.kqr2_ho_red",0.532142857142857,0.599257142857143,0.608685714285714,0.575714285714286,0.666628571428571
"2","SIM","norm.kqr2_re_red",0.516,0.7568,0.6024,0.574571428571429,0.7272
"3","SIMc","norm.kqr2_ho_red",0.496657142857143,0.655428571428571,0.561828571428571,0.511485714285714,0.6152
"4","SIMc","norm.kqr2_re_red",0.478228571428571,0.738285714285714,0.5512,0.509371428571429,0.767485714285714
"5","SIMG","norm.kqr2_ho_red",0.436857142857143,0.688285714285714,0.426171428571429,0.517371428571429,0.590171428571429
"6","SIMG","norm.kqr2_re_red",0.373828571428571,0.575828571428571,0.435885714285714,0.507885714285714,0.601657142857143
"7","SIMln","norm.kqr2_ho_red",0.332371428571429,0.685085714285714,0.408228571428571,0.582342857142857,0.655657142857143
"8","SIMln","norm.kqr2_re_red",0.229085714285714,0.768171428571429,0.4084,0.59,0.716628571428571
