"","data","hypSc","logLik","pdHSIC","pdHSICgMean","pdHSICgMin","pvalHSIC","SME_KDP","SME_MaxEnt1","timeLearn"
"1","AN","stdr.cqr1_re_red",0.97,0.05,0.56,0.63,0.05,0.6,0.98,0.99
"2","AN-s","stdr.cqr1_re_red",0.59,0.32,0.49,0.49,0.32,0.33,0.5,0.99
"3","LS","stdr.cqr1_re_red",0.97,0.07,0.57,0.21,0.04,0.32,0.97,0.98
"4","LS-s","stdr.cqr1_re_red",0.75,0.29,0.5,0.44,0.29,0.3,0.58,1
"5","MN-U","stdr.cqr1_re_red",0.75,0,0.35,0.05,0,0.2,0.2,0.98
